yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2011,2,784,300,01,3138
2012,1,858,208,15,18652592
2007,2,231,894,92,348
2008,2,616,410,38,188401
2011,3,842,51,99,293516
2015,1,51,860,57,121946
1990,1,36,699,42,11125353
2006,2,156,76,65,5895562
2000,2,699,454,95,29046
2000,2,414,634,72,62510
2006,1,862,218,70,14815
2005,2,56,400,64,72598
2003,1,384,392,64,1581
2010,1,32,218,49,68969
2006,2,381,760,72,26337496
2007,2,788,414,39,2622
2004,1,757,704,90,101055
2001,2,702,703,49,34
2014,2,818,682,07,146731133
2017,1,703,524,57,6877
2014,1,352,340,42,329
2010,1,97,258,88,483719
2001,2,826,430,81,7451
2015,2,699,626,25,121426
2008,1,642,376,12,1337001
2010,1,108,682,49,73468
2014,1,40,364,29,228
2001,2,858,528,15,58226
1993,2,642,504,56,34432
1995,2,340,222,40,119601
2004,2,826,792,82,11319798
2007,2,208,60,66,97
1993,2,764,76,64,1720246
2006,3,842,178,88,5500
2012,1,484,764,91,2417841
2009,1,208,398,99,297749
2009,1,251,616,88,10551248
2002,2,642,76,42,1000
2006,1,218,818,49,877
2010,1,417,428,30,503437
2005,2,376,388,27,17000
1994,2,764,36,58,998514
2003,1,384,156,10,32716698
1992,1,842,490,94,1927634287
2006,2,140,384,87,9616
2010,2,752,826,28,12339465
1994,2,842,792,85,363475548
1996,2,203,496,48,162320
2006,1,876,554,83,94
2005,1,634,203,68,1379
2017,1,690,344,19,54357
2018,1,504,818,32,5010675
2018,2,152,458,12,3167
2015,2,703,96,90,14592
2002,1,68,246,35,12787
1996,2,360,579,11,122339
1992,2,392,579,54,188263
2007,2,764,12,83,70655
2007,2,410,792,78,4914
2000,1,818,152,73,2854
2005,2,276,51,58,22000
2015,2,203,792,94,10922139
2009,2,36,462,27,2900
2012,1,854,56,74,4372
2006,1,699,372,28,319592
2008,2,156,764,21,19305067
2015,2,528,178,62,83005
2018,2,608,620,70,3446
2007,1,686,344,65,9016
2010,1,124,288,15,167670
2016,2,348,112,64,607
2011,1,842,704,91,190550
2015,2,616,234,70,197991
1997,2,643,703,44,3435267
2018,1,975,748,48,4170
2014,1,76,660,86,3250
2006,2,76,862,26,8607051
2006,1,56,703,22,473
2007,1,276,894,52,2869000
1995,2,724,58,36,452601
2001,1,504,818,73,1527372
1993,2,170,76,53,16731
2017,2,32,332,42,408
2013,1,398,784,37,6440
2019,1,276,0,61,19775526808
2010,2,97,678,37,313449
2012,1,450,508,10,602781
2006,1,608,752,41,22605
2008,2,458,196,95,132122
2002,2,340,842,01,203382
2015,2,975,422,19,6376390
2002,2,360,231,73,16291
2005,1,392,736,27,1824736273
2009,3,842,540,63,22870
2017,2,12,392,17,3280
2001,2,414,788,39,3490779
2014,2,764,8,85,250
2007,1,276,191,16,1005000
1996,3,842,60,24,3676
1998,2,156,300,69,9205181
2005,1,36,760,74,13135
2015,1,392,702,84,1431767659
1994,2,300,643,44,1167979
1995,2,752,352,32,1824565
2017,2,764,699,01,41
2009,2,508,842,71,72525
2018,2,804,12,23,3037372
2000,2,97,0,64,5181174809
2012,1,344,246,64,7543
1994,1,360,156,43,853
2001,1,156,214,41,102800
2007,2,40,705,06,5530339
2009,2,616,203,32,38672101
1990,1,124,752,19,2626136
2010,2,490,288,20,153364
2013,3,842,554,13,427133
1999,1,300,156,65,6008081
2015,1,764,348,73,2030553
2004,1,662,591,35,219
2010,1,52,124,97,42827
2014,2,975,548,66,2544
1997,1,600,484,32,603864
2012,2,32,360,96,163
2015,1,417,620,74,9
2018,1,512,634,10,81256
2013,2,381,231,97,1616
1991,2,124,414,73,37756
2006,2,97,591,86,31110
2014,1,442,784,72,42
2019,1,208,642,08,10094
2002,2,300,440,90,85904
2008,2,40,826,63,3710815
2018,2,348,854,29,2451502
2006,2,208,490,95,76123
2011,2,704,736,20,329646
2010,1,554,392,32,18132442
2009,1,643,608,94,1076881
2000,1,372,591,82,1867
2012,1,50,520,84,4932
2013,1,724,558,89,34840
2012,2,643,757,71,3176162862
2012,1,156,616,91,373591
2009,2,398,826,61,42
2015,1,842,72,73,15860
1996,2,528,512,85,4555291
2007,2,97,275,37,82027
2018,2,834,276,24,703623
1997,2,724,842,71,35355784
2009,2,768,686,39,2137148
2011,2,276,788,94,5533657
2009,1,214,554,96,113
2016,1,100,144,15,287074
1995,1,690,826,33,871066
2007,2,381,434,01,1441
2012,2,36,634,95,15434
2017,2,320,388,94,2070
2014,2,372,654,87,2657
2008,1,208,757,60,4925
2002,2,604,381,80,209155
2011,1,384,760,63,52698
2000,2,328,780,01,498
2015,2,203,348,08,6162115
2012,2,381,276,04,542404957
1990,2,360,251,39,946483
2006,2,300,233,12,1024
2013,1,398,268,91,551
2017,1,12,442,48,521751
2001,1,608,724,52,197124
2016,1,975,882,40,462716
1999,2,56,826,68,42848038
2012,2,504,76,97,33098
2010,1,124,795,70,857
2017,1,858,392,27,30697
2000,2,40,428,76,106724
2011,1,792,208,38,10946374
2012,1,842,818,57,129392026
2016,2,344,104,52,8257211
2005,1,496,608,89,425
2000,2,208,804,68,21102
1998,2,702,887,57,60681
2005,1,270,208,15,2157283
1997,1,304,251,40,133437
2016,2,156,496,29,8290727
2003,2,842,410,28,280550450
1994,1,340,203,52,13363
1999,1,76,458,92,1654306
2014,1,688,348,49,1274328
1999,1,642,498,76,3000
2008,1,381,600,17,2203846
2017,2,642,699,21,28843
1999,1,170,218,89,25572
2009,1,268,51,26,170
1997,1,40,788,29,19519
2015,1,702,203,89,23585
2003,1,792,724,40,29167293
2007,1,372,634,90,10544
2015,1,690,208,68,160
2008,1,258,56,17,70452
2010,2,490,703,62,1739
2011,2,702,764,14,433377
1995,1,124,654,84,6718
2010,2,360,0,11,46620077
2008,2,124,246,96,91270
2010,2,384,682,09,24574
1999,1,440,112,52,376369
2004,2,100,24,13,120
1997,2,344,624,62,44692
2005,1,152,40,68,744828
2007,1,724,688,90,93745
2004,1,360,360,97,146245
2013,1,682,208,82,348800
2000,1,8,757,70,7214
1998,1,724,76,19,6229
2000,1,398,694,44,3500
1995,1,352,642,69,9249
1997,1,891,376,73,2000
2013,1,585,458,19,16762
2019,2,699,784,57,52550120
2017,1,826,300,13,42337
1994,2,156,699,44,88434
1991,2,600,620,09,170399
1999,1,724,818,08,6921
2005,1,792,682,34,552
2017,1,360,56,85,26365927
1994,1,276,112,41,5574000
2014,2,818,410,30,65123
2008,2,842,620,82,4617016
1999,1,842,490,61,1234873779
2011,1,231,757,21,33428
2006,2,484,826,07,265060
2001,2,504,724,45,6968267
2012,2,740,328,63,1111
2012,1,124,214,38,349
2015,1,540,360,40,544838
2015,1,100,792,34,16283077
2014,1,51,616,72,20891
2001,1,710,764,44,755371
2014,2,512,634,64,301609
2012,1,288,710,83,2137642
2017,1,757,699,89,1721
2006,2,862,124,95,140
2011,1,466,834,84,3995
2019,2,807,528,70,44
2008,1,792,156,22,52985
2015,1,84,188,65,485
1996,2,891,705,81,49000
2001,2,710,792,51,1282975
2000,1,124,16,39,31
2000,2,643,124,40,1793438
1996,1,208,76,52,384163
2008,1,704,643,47,1694366
2011,1,490,642,63,9373
2018,1,344,440,41,132654
2005,2,97,894,08,12
2007,2,300,616,15,2765982
2000,1,579,724,73,48966488
2010,2,251,818,16,804615
2011,1,704,600,39,17506
1999,2,212,780,85,1111
2001,1,400,642,54,4549
1993,2,764,108,39,398368
2015,2,324,0,82,139150
2003,1,251,116,10,132324
1996,1,616,842,09,231000
2006,1,842,156,72,2375255244
2017,1,470,616,18,344235
1993,2,156,586,09,5129577
2010,1,620,392,21,703891
2003,2,752,862,85,32021542
2010,2,348,368,85,4138000
1996,2,608,246,85,12830261
2003,2,40,450,85,31975
2011,1,887,32,08,3258
2014,1,757,144,70,408
2000,1,218,76,60,4294
2017,1,752,688,55,117
2002,2,51,251,25,4038
2008,1,724,604,74,1665511
1998,2,826,686,01,17763
2017,2,251,512,17,101883
2018,2,616,422,89,178239
2001,1,442,784,61,129
1998,1,174,0,13,571
2007,1,484,752,79,2641
1996,2,40,410,80,4817
2013,1,858,764,65,7500
2008,2,764,4,91,473
2007,2,97,188,61,2283250
2012,2,392,804,19,292876
2013,1,804,826,89,1735183
1997,1,686,410,33,199298
2017,2,156,24,35,4336015
2008,1,699,191,87,103525
2006,2,512,348,69,260
2010,1,203,100,62,7569000
2009,2,716,381,08,4687
2011,2,688,788,64,2241
2003,2,276,381,42,31898000
2003,2,682,887,12,30667
1991,1,682,0,14,2771569
2014,1,842,428,11,530883
1996,1,170,702,61,645
2009,2,360,410,60,3492277
2014,1,450,704,40,36138
2017,1,90,842,22,25044
2013,1,56,276,69,143711189
1999,1,600,276,94,173113
1998,2,208,212,02,64062
2018,2,40,428,41,21430
2005,1,191,203,36,682600
2010,1,124,540,94,6904
2012,1,410,702,03,2518898
1994,1,251,446,61,82106064
2014,1,340,222,61,2235012
2012,2,170,222,58,456395
2007,1,36,208,83,8034002
2004,2,858,44,85,5485
1997,2,620,124,01,616
2014,2,699,36,40,52129791
2014,1,699,50,51,120
2011,1,24,626,96,87
1998,1,208,352,97,102407
2006,1,48,144,08,165383
1999,2,458,604,74,1750
2014,2,300,430,39,2618
1996,1,170,586,52,858246
1998,1,764,208,81,6562
2010,2,524,381,57,816030
1997,2,826,478,38,588390
2018,2,752,76,81,380888
2019,2,70,196,72,1634052
2014,1,478,512,19,121238
2013,1,328,862,33,120
2016,2,616,862,39,351148
1997,1,604,218,87,45957
1990,2,764,862,39,59021
2009,2,826,862,49,1183867
2017,1,268,392,42,591
2017,2,757,798,48,10
2000,2,372,530,70,76950
2005,1,70,276,73,17759591
2009,2,376,454,95,7000
2000,2,422,528,22,8659
2013,2,826,740,39,232459
2009,2,792,716,52,9340
2011,1,862,48,57,575
2007,2,276,348,68,75552000
2016,2,56,788,69,511762
2007,2,410,490,03,8824905
2015,2,591,320,49,1873032
1996,2,446,842,55,2642
2015,1,196,586,48,531
2003,2,724,392,82,3217500
1996,1,646,180,33,2105
2002,2,152,528,74,139572169
2010,1,203,442,21,94
2002,2,792,616,62,13401421
2011,2,440,579,59,177657
2008,1,40,116,09,1659
2016,1,484,381,52,9839042
2018,2,458,899,83,182662
2007,1,360,246,18,44250
2014,1,450,528,99,1155
2008,2,688,40,60,1189
2001,1,716,360,96,24011
2017,2,818,682,39,34386985
2004,2,528,530,06,403088
2014,1,276,50,51,6288
1998,1,170,0,18,12463052
2017,2,442,795,28,428
2014,2,418,699,78,2481935
2014,2,340,76,28,43568
2013,1,496,392,93,2059
2015,1,604,70,63,1634
2006,1,398,292,39,468
2002,1,703,381,74,3163786
2008,1,400,251,40,673294
2008,1,512,634,86,10013
1995,1,450,58,35,3217
2010,1,842,499,62,58175
2018,1,484,124,23,55049599
2017,1,417,804,37,6
2003,2,659,328,22,6000
2011,2,450,757,15,935426
2004,2,124,705,56,107
1999,1,705,792,21,96217
2014,2,616,729,29,28485
2013,1,222,360,15,6000
2003,1,562,0,30,16843139
2019,1,807,440,71,9601
2007,2,251,180,47,112520
2010,1,410,0,21,844430309
1998,2,276,262,84,1452000
1998,2,266,807,73,5085
2000,1,192,752,22,2285
1994,1,826,818,49,278721
2001,1,251,620,94,146934672
2016,2,604,56,71,967372
2004,1,804,276,30,143705790
2011,1,100,381,06,1107439
1994,1,124,104,62,5233347
2011,2,170,838,31,2051
2002,2,422,414,73,389864
1990,2,792,642,94,994
2018,2,826,48,92,24837
2001,1,218,381,87,4420876
2014,1,170,586,10,2737
2000,2,124,144,59,332646
2003,2,404,784,62,877
2009,2,458,104,10,23637
2003,2,251,70,52,414262
2005,1,512,208,95,6863
1998,2,40,642,47,54743
2003,2,76,604,04,979294
2015,2,608,450,73,1
2005,1,562,842,70,14041
2015,1,40,251,41,2480692
2016,2,764,376,44,8257208
2013,2,112,729,38,1800
2009,2,360,84,70,11057
2008,2,710,826,50,40128
2007,2,752,36,95,2194415
2015,1,124,372,91,52485
2015,2,842,634,68,3628572
2008,2,699,56,16,15767200
2015,1,140,0,16,4751406
2000,1,144,702,40,6122581
2016,1,528,586,88,533653
2004,2,620,410,56,202016
2000,1,392,276,20,12296254
2016,1,268,442,42,384
2005,2,842,300,13,72730
2005,2,699,458,13,1097649
2000,1,40,795,62,48371
2016,2,348,112,48,373809
2001,1,826,804,35,1268
2006,1,643,203,17,9493757
2018,1,804,104,73,0
1997,1,100,246,38,1664534
2005,2,156,196,60,474486
1993,2,699,784,16,747
2009,2,608,316,32,109466
2004,2,504,528,55,105868
2018,1,381,288,16,14692727
2009,1,56,768,97,11513
2002,2,643,784,12,7700
2011,2,152,0,87,806521897
2002,1,484,40,88,6202
2009,2,757,170,20,18893
1997,2,752,112,73,197423
2019,1,586,381,82,2044130
1996,2,170,332,18,54946
1997,1,372,203,39,85293
2014,1,516,842,68,5992
2011,1,454,710,71,43650
2005,1,233,470,97,193
2013,1,554,643,17,74192
2019,1,97,600,96,114233
2013,1,44,410,40,2649
2002,2,490,116,31,1860
2004,2,490,400,80,22082
2016,1,710,528,07,1372194
1991,2,724,40,22,4533980
2003,2,826,417,57,1507
1994,1,251,392,55,11447449
2002,1,251,276,52,98891346
1998,1,40,58,48,42301088
2015,1,634,32,75,2672
1993,1,203,92,64,651
2016,1,854,288,11,7529917
2006,2,699,528,78,1665562
2018,1,112,784,40,200
2007,1,234,191,70,13
2002,1,748,0,95,926629
2015,1,40,340,73,5034
1995,2,251,792,93,310498
2010,2,826,752,74,84315073
2015,2,702,688,42,4839
2015,2,246,752,10,8526049
2009,2,586,262,17,198046
2004,1,36,124,96,324030
2018,2,558,0,18,7023609
2015,1,620,764,91,35427
2006,1,760,100,48,513207
2008,1,410,736,74,4533486
1998,1,818,788,49,21954
2013,1,24,579,68,39385
2000,1,36,702,15,12116869
2005,1,340,170,64,12911
2005,1,251,682,40,82122
2017,1,608,660,60,5986
2008,1,191,246,64,6727
1994,2,642,643,19,6000
2001,2,702,528,85,1405997351
2004,2,792,736,83,263243
2014,1,616,76,19,470
2007,2,757,516,93,439
2019,1,381,372,16,5745410
